project_id,contributor_count
13708387,30
100297899,0
93139005,30
15059440,30
29684214,30
79189935,17
4282330,30
19499360,30
1808,30
15500271,27
5556,30
73033219,0
11735921,30
125530255,8
3086437,30
38843634,30
46403735,30
11773124,30
5613772,30
55219,30
8196280,30
22182978,30
46634954,17
10442569,6
9039027,30
57324055,4
52376483,30
96086758,30
13427273,30
5494028,23
5219,30
99455722,14
1803672,30
15102161,7
1142,30
3020145,30
87959206,13
1545591,30
569165,25
2959632,30
29683170,29
41008205,0
74729968,30
853,30
10045,30
26280393,7
33685085,30
126033878,12
2831,30
30929002,30
22091370,30
55345663,21
3798450,30
1958,30
30253573,3
51497897,15
20796,30
21898,30
50243623,30
22063582,30
5320906,30
9314,30
4834743,30
35321,11
19860558,30
5123174,30
5221787,30
3905191,30
5215147,30
2539527,30
16537720,14
5325642,14
1351631,30
11562,29
88807187,23
26424942,30
521641,30
20078281,30
8117156,30
89441967,12
17542923,30
22050140,30
59555300,30
3137,30
53158882,30
8204377,30
10149555,30
4406072,30
1486,30
26051663,30
4563494,30
17090138,22
22213367,16
42709,30
89564024,7
11186411,30
29213896,7
12783464,13
22069563,30
34229160,30
3290625,30
7976200,30
9706049,30
106722456,30
92592391,30
93870658,14
1173,30
117542596,24
1920,30
40215217,30
34853,30
60893271,30
5641304,30
9527814,30
46813741,11
53564232,30
418,30
20411146,30
1030091,30
18513453,30
69553769,12
1554,30
35383186,30
11485958,30
22420607,30
3318537,30
1366147,30
36685329,30
43620776,30
24112728,30
27081528,19
6075127,30
4908223,30
79806817,30
16732980,30
129178425,23
63940738,12
90169855,21
79326530,30
11133344,25
9302037,30
31573890,30
11372864,30
10883844,30
531800,30
28799861,30
66025428,3
14890111,10
224328,30
15027,30
29164612,30
32285448,29
34630095,23
13650806,30
126661756,23
1127,30
11703554,30
13981460,27
1334,30
125056671,11
16137601,30
8965153,30
70637503,30
41827423,20
30841,30
36569,30
11805998,30
51691,30
17846135,30
52653866,30
8127,30
6542435,30
4314311,30
